size;array_type;threshold;time_ms
7700;"almost_sorted";0;2.4981
7800;"almost_sorted";0;2.5962
7900;"almost_sorted";0;2.5851
8000;"almost_sorted";0;2.6121
8100;"almost_sorted";0;2.7027
8200;"almost_sorted";0;2.6517
8300;"almost_sorted";0;2.6901
8400;"almost_sorted";0;2.9483
8500;"almost_sorted";0;2.7927
8600;"almost_sorted";0;2.8115
8700;"almost_sorted";0;3.2537
8800;"almost_sorted";0;2.8872
8900;"almost_sorted";0;2.899
9000;"almost_sorted";0;3.0662
9100;"almost_sorted";0;3.0112
9200;"almost_sorted";0;3.0082
9300;"almost_sorted";0;3.2892
9400;"almost_sorted";0;3.093
9500;"almost_sorted";0;3.1301
9600;"almost_sorted";0;3.1642
9700;"almost_sorted";0;3.1873
9800;"almost_sorted";0;3.5545
9900;"almost_sorted";0;5.3562
10000;"almost_sorted";0;4.7528
500;"random";5;0.0915
600;"random";5;0.105
700;"random";5;0.1316
800;"random";5;0.1636
900;"random";5;0.1782
1000;"random";5;0.1937
1100;"random";5;0.2108
1200;"random";5;0.2224
1300;"random";5;0.2434
1400;"random";5;0.281
1500;"random";5;0.3234
1600;"random";5;0.3466
1700;"random";5;0.3682
1800;"random";5;0.3798
1900;"random";5;0.4184
2000;"random";5;0.415
2100;"random";5;0.4293
2200;"random";5;0.4581
2300;"random";5;0.4607
2400;"random";5;0.4805
2500;"random";5;0.4961
2600;"random";5;0.5259
2700;"random";5;0.5608
2800;"random";5;0.6034
2900;"random";5;0.6449
3000;"random";5;0.6838
3100;"random";5;0.7279
3200;"random";5;0.7406
3300;"random";5;1.1305
3400;"random";5;1.0105
3500;"random";5;1.1962
3600;"random";5;1.2389
3700;"random";5;1.2434
3800;"random";5;1.3436
3900;"random";5;1.3248
4000;"random";5;1.3002
4100;"random";5;1.2962
4200;"random";5;1.3895
4300;"random";5;1.4041
4400;"random";5;1.4839
4500;"random";5;0.9978
4600;"random";5;1.016
4700;"random";5;1.0095
4800;"random";5;1.0339
4900;"random";5;1.0465
5000;"random";5;1.069
5100;"random";5;1.0821
5200;"random";5;1.1255
5300;"random";5;1.1689
5400;"random";5;1.2021
5500;"random";5;1.2439
5600;"random";5;1.3746
5700;"random";5;1.3299
5800;"random";5;1.388
5900;"random";5;1.4394
6000;"random";5;1.4553
6100;"random";5;1.5045
6200;"random";5;1.5357
6300;"random";5;1.5605
6400;"random";5;1.5809
6500;"random";5;1.7228
6600;"random";5;1.6315
6700;"random";5;1.8296
6800;"random";5;1.7394
6900;"random";5;2.1197
7000;"random";5;1.6903
7100;"random";5;1.7133
7200;"random";5;1.7294
7300;"random";5;1.8426
7400;"random";5;1.7743
7500;"random";5;1.8077
7600;"random";5;1.7981
7700;"random";5;1.8261
7800;"random";5;1.8387
7900;"random";5;1.8514
8000;"random";5;1.8783
8100;"random";5;1.9816
8200;"random";5;2.0558
8300;"random";5;1.9793
8400;"random";5;2.0891
8500;"random";5;2.0223
8600;"random";5;2.0572
8700;"random";5;2.0346
8800;"random";5;2.2195
8900;"random";5;2.131
9000;"random";5;2.1007
9100;"random";5;2.1451
9200;"random";5;2.1465
9300;"random";5;2.1817
9400;"random";5;2.4846
9500;"random";5;2.2211
9600;"random";5;2.283
9700;"random";5;2.2626
9800;"random";5;2.284
9900;"random";5;2.2815
10000;"random";5;2.6487
500;"reversed";5;0.0658
600;"reversed";5;0.0707
700;"reversed";5;0.0936
800;"reversed";5;0.1164
900;"reversed";5;0.1247
1000;"reversed";5;0.1324
1100;"reversed";5;0.1422
1200;"reversed";5;0.1499
1300;"reversed";5;0.1658
1400;"reversed";5;0.1936
1500;"reversed";5;0.226
1600;"reversed";5;0.243
1700;"reversed";5;0.255
1800;"reversed";5;0.2623
1900;"reversed";5;0.2719
2000;"reversed";5;0.2895
2100;"reversed";5;0.2912
2200;"reversed";5;0.3025
2300;"reversed";5;0.3152
2400;"reversed";5;0.3258
2500;"reversed";5;0.4284
2600;"reversed";5;0.3643
2700;"reversed";5;0.3965
2800;"reversed";5;0.4241
2900;"reversed";5;0.4596
3000;"reversed";5;0.4922
3100;"reversed";5;0.5193
3200;"reversed";5;0.5294
3300;"reversed";5;0.5507
3400;"reversed";5;0.701
3500;"reversed";5;0.5665
3600;"reversed";5;0.5729
3700;"reversed";5;0.7345
3800;"reversed";5;0.6079
3900;"reversed";5;0.608
4000;"reversed";5;0.6184
4100;"reversed";5;0.6205
4200;"reversed";5;0.6336
4300;"reversed";5;0.6363
4400;"reversed";5;0.651
4500;"reversed";5;0.66
4600;"reversed";5;0.6924
4700;"reversed";5;0.7767
4800;"reversed";5;0.7003
4900;"reversed";5;0.7093
5000;"reversed";5;0.7259
5100;"reversed";5;0.7316
5200;"reversed";5;0.7691
5300;"reversed";5;0.8194
5400;"reversed";5;0.8379
5500;"reversed";5;0.8698
5600;"reversed";5;0.9022
5700;"reversed";5;0.9382
5800;"reversed";5;0.9699
5900;"reversed";5;0.9986
6000;"reversed";5;1.0196
6100;"reversed";5;1.0527
6200;"reversed";5;1.2393
6300;"reversed";5;1.0915
6400;"reversed";5;1.1054
6500;"reversed";5;1.1218
6600;"reversed";5;1.8807
6700;"reversed";5;1.8801
6800;"reversed";5;1.9047
6900;"reversed";5;1.1737
7000;"reversed";5;1.1842
7100;"reversed";5;1.1973
7200;"reversed";5;1.2931
7300;"reversed";5;1.237
7400;"reversed";5;1.2264
7500;"reversed";5;1.2368
7600;"reversed";5;1.9082
7700;"reversed";5;2.0293
7800;"reversed";5;1.2755
7900;"reversed";5;1.3013
8000;"reversed";5;1.3212
8100;"reversed";5;1.297
8200;"reversed";5;1.3111
8300;"reversed";5;1.3425
8400;"reversed";5;1.3384
8500;"reversed";5;1.3478
8600;"reversed";5;1.3822
8700;"reversed";5;1.3986
8800;"reversed";5;1.4071
8900;"reversed";5;1.4234
9000;"reversed";5;1.4217
9100;"reversed";5;1.4498
9200;"reversed";5;1.4422
9300;"reversed";5;1.4409
9400;"reversed";5;1.463
9500;"reversed";5;1.8321
9600;"reversed";5;1.6595
9700;"reversed";5;1.5193
